Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Importance categorization,680ebf035ab59d342f31726e,0.6931471803599453,0.5,0.2222222222222222,0.5,2,w/ XAI,importance,6.218418944309617,5,-1.6369467335536183,wine_quality,,
Importance categorization,6173f88147c86baff6963073,0.6676104635652387,0.6666666666666666,0.5555555555555556,0.7777777777777778,2,w/ XAI,importance,1.0,1,-4.0,wine_quality,,
Importance categorization,6942b9546065aeb7e30fd87a,0.23105014359807288,0.8888888888888888,0.8333333333333334,0.8333333333333334,2,w/ XAI,importance,89.15898060006535,2,-2.725329217090021,wine_quality,,
Importance categorization,673da0360d57d15b3f3a0593,0.6573693902885578,0.16666666666666666,0.6111111111111112,0.4444444444444444,2,w/ XAI,importance,1.0,1,-3.0363749964810705,wine_quality,,
Importance categorization,6941706e8a7385da28bcb5e2,0.35794828375191234,0.6666666666666666,0.8333333333333334,0.8333333333333334,2,w/ XAI,importance,9.175443468866481,3,-3.5239213548425843,wine_quality,,
Importance categorization,676435babb44367362b10f73,0.46209812020663016,0.4444444444444444,0.5555555555555556,0.5555555555555556,2,w/ XAI,importance,88.63433519984659,1,-1.8987885755910368,wine_quality,,
Importance categorization,69418fce57bf6c0cd6730ef9,0.6931471803599453,0.5,0.5555555555555556,0.5,2,w/ XAI,importance,49.51034144108332,5,-1.6232250083028865,wine_quality,,
Importance categorization,691fda8adedca50e985f0c90,0.5776226502832877,0.5,0.5555555555555556,0.9444444444444444,2,w/ XAI,importance,69.79637327535328,3,-1.5111626215961982,wine_quality,,
Importance categorization,6941aeb9a019a9bbdd57d028,0.5929869254750522,0.6666666666666666,0.6666666666666666,1.0,2,w/ XAI,importance,5.001721313659671,4,-3.805018953736785,wine_quality,,
Importance categorization,6943448de0ba4e96ec5a82d7,0.7160262102215267,0.4444444444444444,0.3888888888888889,0.3888888888888889,2,w/ XAI,importance,1.0,5,-3.5902266451843503,wine_quality,,
Importance categorization,66fcdc229c37d1da9d61017c,0.5392913540791137,0.5555555555555556,0.8333333333333334,0.7222222222222222,2,w/ XAI,importance,18.775694077379857,4,-2.383721183730552,wine_quality,,
Importance categorization,64d6aac54b2cf0b742d6dc67,0.656238446016175,0.5555555555555556,0.3888888888888889,0.3888888888888889,2,w/ XAI,importance,1.0,4,-2.2775399142640977,wine_quality,,
Importance categorization,6944196eaaee28eb62bd7360,0.6929277163674818,0.2222222222222222,0.5,0.6111111111111112,2,w/ XAI,importance,1.0,1,-4.0,wine_quality,,
Importance categorization,6944211fb86d1cfb660ff63f,0.6812207802827535,0.3888888888888889,0.6111111111111112,0.5555555555555556,2,w/ XAI,importance,1.0,1,-2.890971585491124,wine_quality,,
Importance categorization,66c173231fab4af1393b5756,0.7074056542580176,0.3333333333333333,0.5,0.3888888888888889,2,w/ XAI,importance,1.0,5,-2.912310010384145,wine_quality,,
Importance categorization,677a214b23d3e85a3a5cdb20,0.5341769809009737,0.5555555555555556,0.8333333333333334,0.5,2,w/ XAI,importance,1.0,3,-2.7487372831082437,wine_quality,,
Importance categorization,694332aee9accc7da4b9503e,0.5594369985635702,0.4444444444444444,0.6111111111111112,0.3888888888888889,2,w/ XAI,importance,1.0,1,-2.1311720473037754,wine_quality,,
Importance categorization,6786177b26851e38285d94a1,0.6931471803599453,0.5,0.6111111111111112,0.4444444444444444,2,w/ XAI,importance,42.667013323884476,5,-1.8488716830891052,wine_quality,,
Importance categorization,691dd5fab1ccbfaa2d6d085a,0.6895320128386132,0.4444444444444444,0.5,0.7222222222222222,2,w/ XAI,importance,1.0,5,-2.5814802173258418,wine_quality,,
Importance categorization,69453bbed668224dabc6c5d9,0.6666024769379705,0.6111111111111112,0.5,0.4444444444444444,2,w/ XAI,importance,1.0,5,-2.6100837963028924,wine_quality,,
Importance categorization,6941bc590ef331a45f99ed50,0.449928972242178,0.6666666666666666,0.7777777777777778,0.8888888888888888,2,w/ XAI,importance,9.764677512131138,5,-3.17686512133262,wine_quality,,
Importance categorization,69421e362f33a91517375267,9.617065177867197e-08,0.6666666666666666,1.0,0.6666666666666666,2,w/ XAI,importance,85.16293738616487,3,-3.5327414893779,wine_quality,,
Importance categorization,694179cf3bd953beb35ec402,0.6724024287406015,0.5,0.6666666666666666,0.3888888888888889,2,w/ XAI,importance,1.0,5,-3.1358354539792073,wine_quality,,
Importance categorization,691e201122ecfe4b850e3308,0.6793080229988533,0.4444444444444444,0.6111111111111112,0.5,2,w/ XAI,importance,2.3175344532813784,5,-3.51034986314171,wine_quality,,
Importance categorization,69440172696346a2b42428ed,0.6898536187716676,0.5,0.6111111111111112,0.3333333333333333,2,w/ XAI,importance,1.0,5,-2.4899467513950952,wine_quality,,
Importance categorization,67658116d1ff218b001f2bf1,0.4591614772089445,0.6666666666666666,0.8333333333333334,0.7222222222222222,2,w/ XAI,importance,14.898325050391032,4,-3.758943094450875,wine_quality,,
Importance categorization,692a268e1eab9d860c677fa2,0.475344400821401,0.4444444444444444,0.6666666666666666,0.5555555555555556,2,w/ XAI,importance,1.0,5,-2.506363775330658,wine_quality,,
Importance categorization,69453bd02b59de54f5fd947d,0.6730849083814571,0.5555555555555556,0.6111111111111112,0.3888888888888889,2,w/ XAI,importance,1.0,1,-2.5268074208842957,forest_cover,,
Importance categorization,67814070b879255cac4110e7,0.30043556907633984,0.7222222222222222,0.7777777777777778,0.7222222222222222,2,w/ XAI,importance,7.199505457616431,2,-3.7388463693024145,forest_cover,,
Importance categorization,694587bf33d102941b804de3,0.6546390036677261,0.5,0.4444444444444444,0.6111111111111112,2,w/ XAI,importance,100.0,5,-2.323116858295802,forest_cover,,
Importance categorization,694ad5edf474deae104e0e69,0.5006063376579188,0.4444444444444444,0.4444444444444444,0.7777777777777778,2,w/ XAI,importance,98.34940591567579,4,-2.6012999966184758,wine_quality,,
Importance categorization,69435a602b20d97254a2050b,0.6987930338824053,0.3888888888888889,0.4444444444444444,0.5,2,w/ XAI,importance,1.0,5,-3.330054976401658,wine_quality,,
Importance categorization,6941a695ae2df6326069e993,0.03170302747480311,0.7777777777777778,1.0,0.7777777777777778,2,w/ XAI,importance,14.928028816840822,1,-3.223278522412725,forest_cover,,
Importance categorization,6947c5c8b87439db043797d5,0.6931471803599453,0.5,0.5555555555555556,0.7222222222222222,2,w/ XAI,importance,35.10627279465437,4,-1.7998295441506587,wine_quality,,
Importance categorization,6945371fbc1b757bdc6aaad1,0.6861025727913003,0.7777777777777778,0.5555555555555556,0.6666666666666666,2,w/ XAI,importance,1.5387382828125902,5,-3.8610987392771174,forest_cover,,
Importance categorization,5d16fb317964cd0001c1ca1a,0.3797378057388723,0.6666666666666666,0.8333333333333334,0.8333333333333334,2,w/ XAI,importance,11.483999792408666,4,-3.0892572381568155,wine_quality,,
Importance categorization,6941984defc3cfda7e9cdf6f,0.34657359012997263,0.5555555555555556,0.6111111111111112,0.6111111111111112,2,w/ XAI,importance,13.034586335940277,4,-1.9828753388291882,wine_quality,,
Importance categorization,693b107113e251a972ba0527,0.2458285367459433,1.0,0.9444444444444444,0.9444444444444444,2,w/ XAI,importance,18.772036519108177,4,-3.226956566433236,forest_cover,,
Importance categorization,665b349013d3255859efdb72,0.38508176682220546,0.6666666666666666,0.7777777777777778,0.7777777777777778,2,w/ XAI,importance,84.61110335852096,3,-3.1266853401877244,forest_cover,,
Importance categorization,6942e378d0c8a15ff6b1f81e,0.5391144735910686,0.5,0.6111111111111112,0.5555555555555556,2,w/ XAI,importance,26.638349547183996,1,-1.6141119887188395,forest_cover,,
Importance categorization,694163cd8dce97079e97bd07,0.5091135373908595,0.5555555555555556,0.5555555555555556,1.0,2,w/ XAI,importance,38.37713833536972,3,-2.40474557590538,wine_quality,,
Importance categorization,691f240b27630b7537a73d26,0.7158512639226873,0.2777777777777778,0.2777777777777778,0.8888888888888888,2,w/ XAI,importance,1.0,5,-2.8001610104674066,wine_quality,,
Importance categorization,694afeb6123c5d3d77ab3f9b,0.5858389866871723,0.7777777777777778,0.8333333333333334,0.6111111111111112,2,w/ XAI,importance,1.6380876324983524,1,-4.0,forest_cover,,
Importance categorization,610c5b3dd64337b3324fa98e,0.6771712902799171,0.3333333333333333,0.5,0.6111111111111112,2,w/ XAI,importance,1.0,1,-3.1544646665174048,wine_quality,,
Importance categorization,673abfc29bf0f262315214c8,0.29885923782635093,0.6666666666666666,0.8888888888888888,0.7777777777777778,2,w/ XAI,importance,14.974333086491987,4,-3.69433805688261,wine_quality,,
Importance categorization,69454de0266e20b4d6f6fbd9,0.6815843707467913,0.3333333333333333,0.3333333333333333,0.5555555555555556,2,w/ XAI,importance,1.0,5,-2.3613330910953536,wine_quality,,
Importance categorization,6642c636936f64e56b10161f,0.6931471803599453,0.5,0.8333333333333334,0.5555555555555556,2,w/ XAI,importance,3.0504055716153866,2,-1.6431448487091078,wine_quality,,
Importance categorization,6947190be3c1dfbf23cdb205,0.06267439090512725,0.7777777777777778,1.0,0.7777777777777778,2,w/ XAI,importance,11.835447558424258,1,-4.0,forest_cover,,
Importance categorization,693ade5aabf4dbfe8904b715,0.6931471803599453,0.5,0.2777777777777778,0.3333333333333333,2,w/ XAI,importance,43.38473350261622,2,-1.8766296575353691,forest_cover,,
Importance categorization,67c5e37e79cc91183c6cd3b3,0.22146982342057647,0.7222222222222222,0.8888888888888888,0.8333333333333334,2,w/ XAI,importance,25.877467005852857,5,-2.93323586811812,forest_cover,,
Importance categorization,6945d3294c8cf5eefa76293a,0.5776226502832877,0.4444444444444444,0.4444444444444444,0.6666666666666666,2,w/ XAI,importance,100.0,1,-2.353738607138948,forest_cover,,
Importance categorization,6945952ed37c15496645a5ea,0.6931471803599453,0.5,0.6111111111111112,0.8888888888888888,2,w/ XAI,importance,51.13233968624472,4,-1.7406831688965054,wine_quality,,
Importance categorization,6945b2bc841178ca14128632,0.5006062968988494,0.5,0.6666666666666666,0.6111111111111112,2,w/ XAI,importance,100.0,5,-1.7079518794034154,wine_quality,,
Importance categorization,694593ea17f9d3fbe0311249,0.26955724162378325,0.7777777777777778,0.8888888888888888,0.7777777777777778,2,w/ XAI,importance,68.16847492250147,3,-3.773118525134485,forest_cover,,
Importance categorization,693607ce95c6f9ca7d708da0,0.5576792197164355,1.0,0.6666666666666666,0.6666666666666666,2,w/ XAI,importance,4.916218428536466,3,-3.327575447687337,forest_cover,,
Importance categorization,663e5bdde28c5d230eddf4a0,0.22586698243993503,1.0,0.8333333333333334,0.8333333333333334,2,w/ XAI,importance,10.543809663633247,3,-3.768360938274524,forest_cover,,
Importance categorization,6941db4a8b556cbd2c9ad64d,0.5113936399717322,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,w/ XAI,importance,1.0,5,-1.9010916223083818,wine_quality,,
Importance categorization,67883c42fab99f050f6e9d63,0.7098557087371713,0.5,0.6111111111111112,0.7777777777777778,2,w/ XAI,importance,1.0,5,-2.8382036790018947,wine_quality,,
Importance categorization,676f64f0ca06dcc592a9b50e,0.26955724383877055,0.7777777777777778,0.8333333333333334,0.7222222222222222,2,w/ XAI,importance,61.00875478358782,2,-3.487625431911251,forest_cover,,
Importance categorization,69417db33af88a177fc198e7,0.6037799073265071,0.6111111111111112,0.7222222222222222,0.5555555555555556,2,w/ XAI,importance,3.1384039128107912,4,-3.242572423338027,forest_cover,,
Importance categorization,6945b7f9c69fe2317b25e4a2,0.6146806566461953,0.5,0.6666666666666666,0.7222222222222222,2,w/ XAI,importance,1.0,2,-2.687625922439757,wine_quality,,
Importance categorization,694182081f0cee7d024a1c58,0.29570126309893724,0.7777777777777778,0.8888888888888888,0.6666666666666666,2,w/ XAI,importance,8.274783707009103,3,-2.608121178789746,forest_cover,,
Importance categorization,6945c31f6b27bb869d7ffc5c,0.7253648580299775,0.2777777777777778,0.3333333333333333,0.9444444444444444,2,w/ XAI,importance,1.0,5,-3.369985133191285,wine_quality,,
Importance categorization,691cce11dba0246ae096e537,0.46658571382144776,0.6111111111111112,0.7777777777777778,0.6111111111111112,2,w/ XAI,importance,6.989176257920852,5,-3.5687715359378505,forest_cover,,
Importance categorization,69476d9f42e420d84f0b246f,0.40423556196779464,1.0,0.7222222222222222,0.7222222222222222,2,w/ XAI,importance,5.314164359180137,4,-3.841357711620349,forest_cover,,
Importance categorization,673a68b6b26d5900008e9df9,0.6007729360134395,0.6111111111111112,0.6111111111111112,1.0,2,w/ XAI,importance,4.135233744703209,4,-3.3643632514988564,wine_quality,,
