Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Salient-features categorization,694593ea17f9d3fbe0311249,0.030793676863861016,0.6666666666666666,1.0,0.6666666666666666,1,w/o XAI,importance,100.0,1,-3.330098722580813,forest_cover,,
Salient-features categorization,693607ce95c6f9ca7d708da0,0.007268756781552503,0.6666666666666666,1.0,0.6666666666666666,1,w/o XAI,importance,70.17276701987964,3,-3.512366649593608,forest_cover,,
Salient-features categorization,663e5bdde28c5d230eddf4a0,0.2548286243810255,0.6666666666666666,0.9444444444444444,0.7222222222222222,1,w/o XAI,importance,83.71385919742386,1,-3.2239684074750103,forest_cover,,
Salient-features categorization,6941db4a8b556cbd2c9ad64d,0.6653041382881045,1.0,0.6666666666666666,0.6666666666666666,1,w/o XAI,importance,1.0,2,-4.0,wine_quality,,
Salient-features categorization,67883c42fab99f050f6e9d63,0.5559890976907175,1.0,0.6666666666666666,0.6666666666666666,1,w/o XAI,importance,3.634097229670203,3,-3.122660457578075,wine_quality,,
Salient-features categorization,676f64f0ca06dcc592a9b50e,0.6931471803599453,0.5,0.5,0.5555555555555556,1,w/o XAI,importance,58.40887055781367,2,-2.1738356402558825,forest_cover,,
Salient-features categorization,69417db33af88a177fc198e7,0.5015110660495806,0.6666666666666666,0.7777777777777778,0.5555555555555556,1,w/o XAI,importance,1.9812963729038078,1,-3.499424683351804,forest_cover,,
Salient-features categorization,6945b7f9c69fe2317b25e4a2,0.4937466484827184,0.4444444444444444,0.8888888888888888,0.3333333333333333,1,w/o XAI,importance,1.9739984946879063,1,-3.883848033638434,wine_quality,,
Salient-features categorization,694182081f0cee7d024a1c58,0.6931471803599453,0.5,0.5,0.5555555555555556,1,w/o XAI,importance,83.49362349644088,3,-1.5733032712205146,forest_cover,,
Salient-features categorization,6945c31f6b27bb869d7ffc5c,0.6777524786649487,0.6666666666666666,0.4444444444444444,0.5555555555555556,1,w/o XAI,importance,1.0,4,-3.6488243682799797,wine_quality,,
Salient-features categorization,691cce11dba0246ae096e537,0.6565700018452516,0.6111111111111112,0.6666666666666666,0.6111111111111112,1,w/o XAI,importance,1.0,4,-3.861833561523123,forest_cover,,
Salient-features categorization,69476d9f42e420d84f0b246f,0.5395774492307033,0.7777777777777778,0.7777777777777778,0.5555555555555556,1,w/o XAI,importance,10.146803837351941,4,-3.0979413889674854,forest_cover,,
Salient-features categorization,673a68b6b26d5900008e9df9,0.626786702659784,0.8333333333333334,0.6666666666666666,0.7222222222222222,1,w/o XAI,importance,16.398469019765813,4,-2.677222163059413,wine_quality,,
Salient-features categorization,6917d7e167b86e562032b285,0.09568583582615107,0.5,0.8888888888888888,0.3888888888888889,1,w/o XAI,importance,19.398583157229744,1,-2.3084681227385766,wine_quality,,
Salient-features categorization,675b1432a3f788b0222e5237,0.011327238520302308,0.6666666666666666,1.0,0.6666666666666666,1,w/o XAI,importance,59.9577797463687,3,-3.2944395739404118,forest_cover,,
Salient-features categorization,6632bae865d316c32325fda1,0.3174981696231219,1.0,0.8888888888888888,0.8888888888888888,1,w/o XAI,importance,7.911072712714676,2,-4.0,wine_quality,,
Salient-features categorization,68c47a59387d8e5258c84ba4,0.6931471803599453,0.5,0.3888888888888889,0.4444444444444444,1,w/o XAI,importance,65.38340364233736,2,-1.7142228814301572,wine_quality,,
Salient-features categorization,69418dd5c757560f07febe8d,0.3130925692455785,0.9444444444444444,0.8333333333333334,0.8888888888888888,1,w/o XAI,importance,19.53108699599853,3,-3.5160158936217525,wine_quality,,
Salient-features categorization,663e6a6264c97be0281cd6f8,0.5675695292393468,0.7777777777777778,0.6666666666666666,0.7777777777777778,1,w/o XAI,importance,2.2992828748785747,1,-3.0855926365008153,wine_quality,,
Salient-features categorization,691e0937b2321e8ee4c87608,0.5256068086751582,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,w/o XAI,importance,3.7531133617107164,1,-2.834580593458508,forest_cover,,
Salient-features categorization,69443088d8ebe0e4b0ba83ee,0.3139259498742501,0.6666666666666666,0.8888888888888888,0.5555555555555556,1,w/o XAI,importance,15.915148855269726,3,-3.5236253324462883,forest_cover,,
Salient-features categorization,69440e813f2bcaeeea40874c,0.4541208659638738,0.7777777777777778,0.7777777777777778,0.6666666666666666,1,w/o XAI,importance,4.4164394575891315,1,-3.6509683665051167,wine_quality,,
Salient-features categorization,69419eee71482f9cdb398614,0.21850357453019778,0.7222222222222222,1.0,0.7222222222222222,1,w/o XAI,importance,6.840462312725727,1,-3.9210924955065654,wine_quality,,
Salient-features categorization,67306cb03ff706c72e58bba0,0.5481285529020611,0.7777777777777778,0.7222222222222222,0.7222222222222222,1,w/o XAI,importance,7.739762893177941,4,-4.0,forest_cover,,
Salient-features categorization,69419e9576aea13f332266ff,0.00509364798624195,0.6666666666666666,1.0,0.6666666666666666,1,w/o XAI,importance,31.206844485841085,3,-2.7828306581645372,forest_cover,,
